Item_Id,Low_Cap_Price
IT_265079,3258.92
IT_265087,2311.26
IT_265107,4789.09
IT_265139,6166.31875
IT_265142,2059.04
IT_265144,1201.58
IT_265148,3083.97
IT_265156,5541.055
IT_265162,5423.06
IT_265170,4369.8975
IT_265175,8374.2475
IT_265181,8323.46
IT_265183,7905.4
IT_265184,7730.13
IT_265196,7749.685
IT_265201,8788.12125
IT_265205,8586.17875
IT_265244,3213.53
IT_265255,5621.38875
IT_265259,3402.04125
IT_265264,4760.80375
IT_265274,2053.96
IT_265275,1806.04
IT_265294,621.7
IT_265315,5248.38625
IT_265317,2873.03
IT_265332,8026.36
IT_265338,7838.40625
IT_265339,8018.56
IT_265341,8243.18625
IT_265349,7896.7475
IT_265350,7454.27375
IT_265360,7118.9025
IT_265379,2162.28
IT_265382,7980.29375
IT_265417,4910.7
IT_265448,1932.31
IT_265455,3357.99
IT_265482,8510.19875
IT_265490,7661.4
IT_265495,8768.17375
IT_265499,7833.75875
IT_265500,7741.71375
IT_265504,8808.04625
IT_265507,7819.84875
IT_265533,5629.74125
IT_265566,5318.52375
IT_265568,1878.22
IT_265575,7066.93125
IT_265577,2914.15
IT_265581,4205.22375
IT_265611,8493.0775
IT_265615,1969.95
IT_265647,3224.97
IT_265697,6250.62125
IT_265701,3015.05
IT_265702,2433.37
IT_265703,1066.74
IT_265720,4471.79
IT_265734,8449.74125
IT_265736,7586.16
IT_265740,8374.36125
IT_265742,8165.57875
IT_265747,8326.56625
IT_265751,7244.8875
IT_265757,8535.01
IT_265792,5640.7875
IT_265816,2891.335
IT_265819,2039.28
IT_265866,6736.985
IT_265869,6160.45375
IT_265874,1700.07
IT_265880,3222.38
IT_265905,8543.615
IT_265911,8359.3725
IT_265922,8778.615
IT_265927,8482.715
IT_265932,8498.1325
IT_265935,7515.21375
IT_265948,2025.58
IT_265966,5372.105
IT_265976,2254.0
IT_265999,3972.895
IT_266030,2110.11
IT_266056,1486.25
IT_266058,3262.76
IT_266060,1077.27
IT_266069,2944.85
IT_266096,5268.7325
IT_266103,8622.78375
IT_266111,7988.24125
IT_266115,8275.11
IT_266124,8785.935
IT_266128,8535.01
IT_266132,8011.70625
IT_266137,8210.93875
IT_266141,3884.53
IT_266155,8241.16875
IT_266157,5192.9725
IT_266166,5486.89125
IT_266175,3022.07
IT_266188,3888.56875
IT_266255,484.67
IT_266258,1489.58
IT_266264,2967.62
IT_266281,5245.83125
IT_266298,8579.25375
IT_266299,7685.9
IT_266307,7681.12
IT_266318,7238.05
IT_266322,8738.87375
IT_266324,7449.02
IT_266334,8064.79375
IT_266338,3892.87
IT_266354,6002.55125
IT_266366,2722.05
IT_266376,3184.6575
IT_266402,2717.35875
IT_266413,1963.83
IT_266453,1067.1
IT_266498,8526.4225
IT_266499,1195.48
IT_266506,7990.8325
IT_266514,8147.2775
IT_266523,8605.74
IT_266532,7871.905
IT_266536,7326.555
IT_266537,8081.41625
IT_266541,4004.44
IT_266556,5200.7125
IT_266557,8409.07375
IT_266571,2178.11
IT_266578,1852.43
IT_266594,4588.245
IT_266650,8715.375
IT_266665,1388.25
IT_266667,4721.5225
IT_266671,2842.67
IT_266684,4000.37125
IT_266700,8087.29625
IT_266703,7723.55625
IT_266715,8052.2725
IT_266731,8437.315
IT_266741,8215.825
IT_266744,7779.06
IT_266752,4363.10875
IT_266786,7217.70625
IT_266806,7941.36
IT_266825,6075.30125
IT_266833,3427.11
